Variable,Target,Technique,REAL,Synth_Lo,Synth_Hi,Contains_REAL
immig,SMS,TabSyn,0.012,0.010,0.100,True
immig,SMS,CTGAN,0.012,-0.040,0.100,True
immig,SMS,PredLLM,0.012,-0.040,0.070,True
immig,SMS,TapTap,0.012,0.000,0.100,True
immig,SMS,GReaT,0.012,-0.080,-0.010,False
classSize,SMP,TabDiff,0.107,0.080,0.150,True
classSize,SMP,REaLTabFormer,0.107,0.010,0.140,True
classSize,SMP,Tabula,0.107,0.130,0.150,False
classSize,SMP,TabSyn,0.107,0.050,0.160,True
classSize,SMP,CTGAN,0.107,0.070,0.130,True
classSize,SMP,PredLLM,0.107,0.030,0.110,True
classSize,SMP,TapTap,0.107,0.110,0.170,False
classSize,SMP,GReaT,0.107,0.050,0.130,True
classSize,SPI,TabDiff,-0.165,-0.230,-0.110,True
classSize,SPI,REaLTabFormer,-0.165,-0.370,-0.210,False
classSize,SPI,Tabula,-0.165,-0.230,-0.140,True
classSize,SPI,TabSyn,-0.165,-0.170,-0.120,True
classSize,SPI,CTGAN,-0.165,-0.250,-0.180,False
classSize,SPI,PredLLM,-0.165,-0.090,0.050,False
classSize,SPI,TapTap,-0.165,-0.180,-0.070,True
classSize,SPI,GReaT,-0.165,-0.150,-0.110,False
classSize,SMS,TabDiff,0.030,0.010,0.080,True
classSize,SMS,REaLTabFormer,0.030,-0.010,0.090,True
classSize,SMS,Tabula,0.030,0.010,0.080,True
classSize,SMS,TabSyn,0.030,-0.050,0.050,True
classSize,SMS,CTGAN,0.030,0.050,0.110,False
classSize,SMS,PredLLM,0.030,-0.060,0.080,True
classSize,SMS,TapTap,0.030,0.020,0.050,True
classSize,SMS,GReaT,0.030,-0.010,0.080,True
schoolSize,SMP,TabDiff,0.116,0.050,0.120,True
schoolSize,SMP,REaLTabFormer,0.116,0.100,0.210,True
schoolSize,SMP,Tabula,0.116,-0.020,0.030,False
schoolSize,SMP,TabSyn,0.116,0.100,0.190,True
schoolSize,SMP,CTGAN,0.116,0.100,0.170,True
schoolSize,SMP,PredLLM,0.116,-0.020,0.120,True
schoolSize,SMP,TapTap,0.116,0.070,0.130,True
schoolSize,SMP,GReaT,0.116,-0.010,0.090,False
schoolSize,SPI,TabDiff,0.018,-0.040,0.090,True
schoolSize,SPI,REaLTabFormer,0.018,0.010,0.380,True
schoolSize,SPI,Tabula,0.018,0.200,0.260,False
schoolSize,SPI,TabSyn,0.018,-0.120,0.010,False
schoolSize,SPI,CTGAN,0.018,-0.030,0.100,True
schoolSize,SPI,PredLLM,0.018,0.180,0.330,False
schoolSize,SPI,TapTap,0.018,-0.140,-0.020,False
schoolSize,SPI,GReaT,0.018,-0.080,0.050,True
schoolSize,SMS,TabDiff,-0.057,-0.090,-0.050,True
