"lhs","op","rhs","block","group","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all"
"MOT","~~","SCIEFF",1,1,"",0.193593054329125,0.00408782165683419,47.3584883541745,0,0.185581071106507,0.201605037551742,0.298510882941193,0.298510882941193
"ST113Q01TA","~*~","ST113Q01TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST113Q02TA","~*~","ST113Q02TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST113Q03TA","~*~","ST113Q03TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST113Q04TA","~*~","ST113Q04TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q01TA","~*~","ST129Q01TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q02TA","~*~","ST129Q02TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q03TA","~*~","ST129Q03TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q04TA","~*~","ST129Q04TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q05TA","~*~","ST129Q05TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q06TA","~*~","ST129Q06TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q07TA","~*~","ST129Q07TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST129Q08TA","~*~","ST129Q08TA",1,1,"",1,0,NA,NA,1,1,1,1
"ST113Q01TA","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"ST113Q02TA","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"ST113Q03TA","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"ST113Q04TA","~1","",1,1,"",0,0,NA,NA,0,0,0,0
"ST129Q01TA","~1","",1,1,"",0,0,NA,NA,0,0,0,0
