ST001D01T,ST004D01T,ST268Q01JA,ST268Q04JA,ST268Q07JA,AGE,IMMIG,MISCED,ESCS,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,SC064Q05WA,SC064Q06WA,SC064Q01TA,SC064Q02TA,SC064Q04NA,SC064Q03TA,SC064Q07WA,SCHSIZE,MCLSIZE,LV_SMP
9,2,3,3,3,15.25,1,4,0.2071,650.031,622.508,585.618,660.926,623.592,615.685,671.885,647.031,632.737,637.041,30,100,30,100,0,10,0,558,28,1.0102828216747997
10,2,3,3,3,15.42,1,4,0.0637,536.531,570.151,562.679,530.194,578.405,555.912,514.478,514.435,530.298,537.523,4,1,10,13,9,9,14,800,23,0.10118918093863792
10,1,1,2,3,16.08,1,7,1.3135,573.427,593.439,608.979,632.671,593.711,618.426,581.861,587.342,607.174,582.464,2,10,17,18,1,61,0,968,28,0.6455454755254406
10,1,1,1,2,15.42,1,9,0.4424,429.055,405.125,450.75,444.766,421.347,406.393,458.767,433.472,400.132,414.569,40,0,40,20,0,2,0,868,23,-1.0534511685393293
10,2,1,1,3,16.08,1,9,0.7858,407.904,453.22,477.658,416.012,437.819,341.038,446.039,479.579,454.433,424.48,100,100,100,100,2,100,100,436,23,-0.9816830659548581
10,1,1,1,4,16.17,1,8,0.4981,514.068,479.211,565.268,474.996,490.498,560.16,529.758,537.168,508.358,437.866,7,9,5,5,19,3,0,485,23,-0.2278896684862341
10,1,3,3,4,15.42,1,8,0.2593,565.912,558.689,566.321,494.743,519.027,560.576,563.849,567.897,549.64,551.745,5,0,10,5,30,5,0,729,23,0.16915858418974383
10,1,2,1,4,15.58,1,4,-0.8889,458.938,472.519,492.643,468.562,476.866,445.861,491.468,503.916,464.688,467.871,25,15,27,39,2,37,1,871,28,-0.579447066602794
10,1,1,1,4,15.83,1,8,0.5071,585.044,578.216,605.006,605.338,603.259,612.466,553.948,600.937,607.3,582.844,78,0,91,100,3,100,0,376,23,0.6002458247361647
10,1,3,2,4,15.42,1,8,0.317,471.395,477.583,509,520.524,507.358,498.124,449.075,504.547,489.44,495.974,10,21,20,22,10,29,1,505,23,-0.401981660820342
10,2,4,4,4,15.92,1,9,1.1494,609.549,666.584,621.946,738.779,656.038,588.265,623.629,592.394,594.438,680.334,15,80,30,70,0,2,0,697,28,1.0334814994754835
10,2,3,3,4,16.08,1,7,0.6191,648.602,674.734,686.019,654.908,635.103,652.262,695.275,655.334,650.431,633.93,10,10,40,90,10,10,0,780,28,1.2473235874944437
10,2,3,3,4,16.17,1,8,1.5702,612.684,599.232,641.649,644.252,630.053,597.464,641.327,615.631,620.527,636.975,90,0,95,100,70,100,80,21,23,0.9033932550676702
