Variable,Technique,Type,Mean ± SD,Range,Boundary_Adherence,Category_Proportions,Category_Adherence
PV6MATH,GReaT,continuous,607.721 ± 68.550,266 to 851,1.000,,
PV7MATH,GReaT,continuous,610.951 ± 71.535,238 to 876,1.000,,
PV8MATH,GReaT,continuous,610.757 ± 70.171,308 to 813,1.000,,
PV9MATH,GReaT,continuous,608.062 ± 68.507,308 to 841,1.000,,
PV10MATH,GReaT,continuous,609.697 ± 69.251,270 to 817,1.000,,
SCHSIZE,GReaT,continuous,1339.411 ± 801.700,315 to 4020,1.000,,
MCLSIZE,GReaT,continuous,29.465 ± 8.023,18 to 38,1.000,,
SC064Q03TA,GReaT,ordinal,,,,"1.0: 6.7%, 2.0: 30.0%, 3.0: 2.6%, 5.0: 33.0%, 6.0: 5.9%, 10.0: 11.4%, 16.0: 2.8%, 20.0: 3.6%, 30.0: 4.1%",1.000
SC064Q01TA,GReaT,ordinal,,,,"4.0: 1.3%, 5.0: 6.8%, 6.0: 9.5%, 10.0: 13.2%, 12.0: 0.0%, 15.0: 8.3%, 20.0: 25.5%, 25.0: 4.1%, 30.0: 9.8%, 34.0: 4.8%, 40.0: 5.9%, 70.0: 10.7%",1.000
SC064Q04NA,GReaT,ordinal,,,,"1.0: 4.3%, 2.0: 17.8%, 3.0: 17.8%, 4.0: 1.3%, 5.0: 19.8%, 6.0: 5.9%, 8.0: 2.8%, 10.0: 13.9%, 15.0: 9.4%, 20.0: 3.6%, 26.0: 3.4%",1.000
MISCED,GReaT,ordinal,,,,"1: 0.1%, 2: 0.7%, 3: 1.5%, 4: 10.1%, 5: 0.0%, 6: 9.8%, 7: 13.0%, 8: 32.6%, 9: 26.5%, 10: 5.7%",1.000
SC064Q05WA,GReaT,ordinal,,,,"2.0: 10.7%, 4.0: 9.5%, 5.0: 12.2%, 6.0: 1.4%, 10.0: 22.1%, 15.0: 2.6%, 20.0: 21.2%, 25.0: 5.7%, 28.0: 4.8%, 40.0: 5.9%, 70.0: 3.4%, 85.0: 0.5%",1.000
ST268Q04JA,GReaT,ordinal,,,,"1: 6.1%, 2: 32.6%, 3: 42.7%, 4: 18.5%",1.000
ST268Q07JA,GReaT,ordinal,,,,"1: 0.3%, 2: 0.2%, 3: 16.6%, 4: 83.0%",1.000
ST004D01T,GReaT,categorical,,,,"1: 56.9%, 2: 43.1%",1.000
ST268Q01JA,GReaT,ordinal,,,,"1: 6.5%, 2: 26.6%, 3: 42.0%, 4: 25.0%",1.000
