technique,variable,type,distance
PredLLM_DistilGPT2,SCHSIZE,continuous,114.29795011564778
PredLLM_DistilGPT2,ST001D01T,categorical,0.06215074285994632
PredLLM_DistilGPT2,ST004D01T,categorical,0.0026050889308884355
PredLLM_DistilGPT2,ST268Q01JA,categorical,0.038723645844538496
PredLLM_DistilGPT2,ST268Q04JA,categorical,0.036007701908857576
PredLLM_DistilGPT2,ST268Q07JA,categorical,0.04440989330251154
PredLLM_GPT2,AGE,continuous,0.03100214092379904
PredLLM_GPT2,ESCS,continuous,0.08266364915985687
PredLLM_GPT2,IMMIG,categorical,0.06815399458601926
PredLLM_GPT2,MCLSIZE,continuous,1.0164653170836866
PredLLM_GPT2,MISCED,categorical,0.0737164091368657
PredLLM_GPT2,PV10MATH,continuous,11.064660311263449
PredLLM_GPT2,PV1MATH,continuous,13.190477909036419
PredLLM_GPT2,PV2MATH,continuous,13.317123789090912
PredLLM_GPT2,PV3MATH,continuous,12.302970487565585
PredLLM_GPT2,PV4MATH,continuous,13.190579408163606
PredLLM_GPT2,PV5MATH,continuous,12.367646298366866
PredLLM_GPT2,PV6MATH,continuous,12.950061374687884
PredLLM_GPT2,PV7MATH,continuous,11.235722207149717
PredLLM_GPT2,PV8MATH,continuous,11.469359949558331
PredLLM_GPT2,PV9MATH,continuous,11.997421316406864
PredLLM_GPT2,SC064Q01TA,categorical,0.8325546111576977
PredLLM_GPT2,SC064Q02TA,categorical,0.8325546111576977
PredLLM_GPT2,SC064Q03TA,categorical,0.8325546111576977
PredLLM_GPT2,SC064Q04NA,categorical,0.8325546111576977
PredLLM_GPT2,SC064Q05WA,categorical,0.8325546111576977
PredLLM_GPT2,SC064Q06WA,categorical,0.8325546111576978
PredLLM_GPT2,SC064Q07WA,categorical,0.8325546111576978
PredLLM_GPT2,SCHSIZE,continuous,120.41371863885286
PredLLM_GPT2,ST001D01T,categorical,0.06479716028640843
PredLLM_GPT2,ST004D01T,categorical,0.016471002024580003
PredLLM_GPT2,ST268Q01JA,categorical,0.045997916909972056
PredLLM_GPT2,ST268Q04JA,categorical,0.05128655594597028
PredLLM_GPT2,ST268Q07JA,categorical,0.04569602657369841
TabSyn,AGE,continuous,0.025509986331775616
TabSyn,ESCS,continuous,0.13721080253528034
TabSyn,IMMIG,categorical,0.08992517997595897
TabSyn,MCLSIZE,continuous,0.21034940397196256
TabSyn,MISCED,categorical,0.08275316119740032
TabSyn,PV10MATH,continuous,7.704076577102803
TabSyn,PV1MATH,continuous,5.731183011682244
TabSyn,PV2MATH,continuous,6.339397747663553
TabSyn,PV3MATH,continuous,9.322843042056075
TabSyn,PV4MATH,continuous,7.831031577102803
TabSyn,PV5MATH,continuous,6.592786584112147
TabSyn,PV6MATH,continuous,7.634197390186916
TabSyn,PV7MATH,continuous,6.606932063084116
TabSyn,PV8MATH,continuous,6.303603927570096
TabSyn,PV9MATH,continuous,8.683802700934578
TabSyn,SC064Q01TA,categorical,0.03806199302958574
TabSyn,SC064Q02TA,categorical,0.035291029283186164
TabSyn,SC064Q03TA,categorical,0.02918670152612687
TabSyn,SC064Q04NA,categorical,0.03449990598196995
TabSyn,SC064Q05WA,categorical,0.03700302188441907
TabSyn,SC064Q06WA,categorical,0.03435658314258368
TabSyn,SC064Q07WA,categorical,0.03528723439120998
TabSyn,SCHSIZE,continuous,40.48923441588788
TabSyn,ST001D01T,categorical,0.045425898758329517
TabSyn,ST004D01T,categorical,0.02825498983275114
TabSyn,ST268Q01JA,categorical,0.08085284296724282
TabSyn,ST268Q04JA,categorical,0.028516588640965578
TabSyn,ST268Q07JA,categorical,0.075424121863636
TabDiff,AGE,continuous,0.040845948364486004
TabDiff,ESCS,continuous,0.061715165450467305
TabDiff,IMMIG,categorical,0.006357899136384292
TabDiff,MCLSIZE,continuous,0.3174061834112149
TabDiff,MISCED,categorical,0.022159725087055177
TabDiff,PV10MATH,continuous,28.00166379439252
TabDiff,PV1MATH,continuous,22.075986002336457
TabDiff,PV2MATH,continuous,28.434008880841127
TabDiff,PV3MATH,continuous,22.81504851401869
TabDiff,PV4MATH,continuous,31.178250864485985
TabDiff,PV5MATH,continuous,5.409541476635512
TabDiff,PV6MATH,continuous,29.696952009345793
TabDiff,PV7MATH,continuous,28.416358782710283
TabDiff,PV8MATH,continuous,26.318545091121493
TabDiff,PV9MATH,continuous,30.17416398598131
TabDiff,SC064Q01TA,categorical,0.018809384797284247
TabDiff,SC064Q02TA,categorical,0.023822390891841322
TabDiff,SC064Q03TA,categorical,0.027644999840185442
TabDiff,SC064Q04NA,categorical,0.024545269317461763
TabDiff,SC064Q05WA,categorical,0.0261225442524645
TabDiff,SC064Q06WA,categorical,0.034629767156727366
TabDiff,SC064Q07WA,categorical,0.027891151587075117
TabDiff,SCHSIZE,continuous,33.13695765887851
TabDiff,ST001D01T,categorical,0.01831672287019509
TabDiff,ST004D01T,categorical,0.008924838010790484
TabDiff,ST268Q01JA,categorical,0.018716604516720102
TabDiff,ST268Q04JA,categorical,0.01497865205501512
TabDiff,ST268Q07JA,categorical,0.010089174555052153
REaLTabFormer,AGE,continuous,0.04145070220604658
REaLTabFormer,ESCS,continuous,0.0895431177400384
REaLTabFormer,IMMIG,categorical,0.1314112598854548
REaLTabFormer,MCLSIZE,continuous,0.5903361567869402
REaLTabFormer,MISCED,categorical,0.1046774279539486
REaLTabFormer,PV10MATH,continuous,17.73187180885877
REaLTabFormer,PV1MATH,continuous,11.753614920905104
REaLTabFormer,PV2MATH,continuous,18.141911728809703
REaLTabFormer,PV3MATH,continuous,21.916742406519333
REaLTabFormer,PV4MATH,continuous,20.474742321928566
REaLTabFormer,PV5MATH,continuous,23.152245039057387
REaLTabFormer,PV6MATH,continuous,17.125699048433788
REaLTabFormer,PV7MATH,continuous,15.175844560197627
REaLTabFormer,PV8MATH,continuous,22.261972781977676
REaLTabFormer,PV9MATH,continuous,12.119831833674628
REaLTabFormer,SC064Q01TA,categorical,0.8325546111576977
REaLTabFormer,SC064Q02TA,categorical,0.8325546111576977
REaLTabFormer,SC064Q03TA,categorical,0.8325546111576977
REaLTabFormer,SC064Q04NA,categorical,0.8325546111576977
REaLTabFormer,SC064Q05WA,categorical,0.8325546111576977
REaLTabFormer,SC064Q06WA,categorical,0.8325546111576977
REaLTabFormer,SC064Q07WA,categorical,0.8325546111576977
REaLTabFormer,SCHSIZE,continuous,321.7920699504914
REaLTabFormer,ST001D01T,categorical,0.02405862436945878
REaLTabFormer,ST004D01T,categorical,0.04238605914673675
REaLTabFormer,ST268Q01JA,categorical,0.11241099702243043
REaLTabFormer,ST268Q04JA,categorical,0.11037190147891837
REaLTabFormer,ST268Q07JA,categorical,0.03062148626448252
