"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"SMP","~","SPI","cprime",0.0761877495427387,0.00602991587045963,12.6349606162799,0,0.0643715805590939,0.0875538011622876,0.0652731022839969,0.0652731022839969,0.0652731022839969
"SMP","~","female","d1",0.00238834525847758,0.0115700841386144,0.206424191031303,0.836459576014586,-0.0203731908780174,0.0254258477599379,0.00204619122210264,0.00102308984230185,0.00204619122210264
"SMP","~","ESCS_z","d2",0.393875891999373,0.00911237148380648,43.2243014564679,0,0.375294097693653,0.411364595203629,0.337449282069336,0.332768342196948,0.337449282069336
"SMP","~","ST001D01T_z","d3",0.105465651770432,0.00593497424192636,17.770195365869,0,0.09357426842526,0.116720837000378,0.0903566559817869,0.0872227614491366,0.0903566559817869
"SMP","~","MISCED","d4",-0.0467462457137684,0.00387520914360047,-12.0628962157991,0,-0.0543751095105952,-0.0393119808635812,-0.0400493845294117,-0.0852565744440539,-0.0400493845294117
"SMP","~","SCHSIZE_z","d5",0.1149385553515,0.0072166310377028,15.9268992346998,0,0.10026089007421,0.128722952647036,0.09847247260696,0.099165143275555,0.09847247260696
"PV1MATH","~~","PV1MATH","",810.852320929138,7.92064389201207,102.372020757918,0,795.316207921359,826.688969412713,810.852320929138,0.0771603390232602,0.0771603390232602
"PV2MATH","~~","PV2MATH","",825.516022170067,7.78510087288222,106.037935236726,0,810.804992136179,841.638839800704,825.516022170067,0.0778881422825654,0.0778881422825654
"PV3MATH","~~","PV3MATH","",815.955000889381,7.74423002051148,105.362960388345,0,801.242440011678,831.397447790048,815.955000889381,0.0770198208695462,0.0770198208695462
"PV4MATH","~~","PV4MATH","",802.594800831978,7.85615342995662,102.161294071927,0,787.574928577087,818.344232809999,802.594800831978,0.0756817639940841,0.0756817639940841
"PV5MATH","~~","PV5MATH","",815.554770146515,7.9816097957778,102.179233389477,0,800.756124923963,831.72933476639,815.554770146515,0.0771938178953047,0.0771938178953047
"PV6MATH","~~","PV6MATH","",811.22121614635,7.75262330144732,104.638286242401,0,796.782253783009,827.261018446183,811.22121614635,0.0773875569202236,0.0773875569202236
"PV7MATH","~~","PV7MATH","",818.201449204144,8.10460223482846,100.955164176723,0,802.47928807568,834.457527870339,818.201449204144,0.0778844949637657,0.0778844949637657
"PV8MATH","~~","PV8MATH","",808.28421855287,7.96253753718865,101.510883280338,0,792.506654844024,823.936263963265,808.28421855287,0.0767394142055259,0.0767394142055259
"PV9MATH","~~","PV9MATH","",820.736550834687,7.86478564880596,104.355870265745,0,805.32093075323,836.036802327764,820.736550834687,0.0773574718568545,0.0773574718568545
"PV10MATH","~~","PV10MATH","",811.383459182565,7.82411111743571,103.702957052135,0,796.682746842251,827.294014780581,811.383459182565,0.0767863696819119,0.0767863696819119
"ST268Q01JA","~~","ST268Q01JA","",0.153070836364813,0.00718965897440679,21.2904168208399,0,0.139016575218833,0.166680063323367,0.153070836364813,0.15400145822514,0.15400145822514
"ST268Q04JA","~~","ST268Q04JA","",0.319748956373885,0.0056504414661795,56.5883140791264,0,0.309215208149945,0.331739545273106,0.319748956373885,0.365425713494703,0.365425713494703
"ST268Q07JA","~~","ST268Q07JA","",0.528220090267238,0.00493792774586253,106.972016897135,0,0.518450758791676,0.537867402878991,0.528220090267238,0.850134579994262,0.850134579994262
"SC064Q01TA","~~","SC064Q01TA","",150.63261106617,3.92634118393808,38.3646259989782,0,143.206596822211,158.528839638634,150.63261106617,0.173104244398194,0.173104244398194
"SC064Q02TA","~~","SC064Q02TA","",1099.39291840055,5.28261266139098,208.115375642754,0,1089.27785581402,1109.65461591481,1099.39291840055,0.900179862935218,0.900179862935218
"SC064Q03TA","~~","SC064Q03TA","",638.452332954037,7.35634522109669,86.7893381516503,0,624.010549906564,652.934469589682,638.452332954037,0.796854236970097,0.796854236970097
"SC064Q04NA","~~","SC064Q04NA","",515.155823947283,7.15167432719348,72.0328975256126,0,501.17247368094,529.509750759462,515.155823947283,0.780560234979752,0.780560234979752
"SC064Q05WA","~~","SC064Q05WA","",163.713176010348,4.63474664999014,35.3230043352415,0,154.717741011137,172.912669327113,163.713176010348,0.177531636596412,0.177531636596412
"SC064Q06WA","~~","SC064Q06WA","",1127.71724516387,6.77223689154785,166.520643507217,0,1114.60359437569,1141.45184396774,1127.71724516387,0.827439071892866,0.827439071892866
"SMP","~~","SMP","",1,0,NA,NA,1,1,0.734003646671743,0.734003646671743,0.734003646671743
"SMS","~~","SMS","",1,0,NA,NA,1,1,0.952871954386838,0.952871954386838,0.952871954386838
"SPI","~~","SPI","",1,0,NA,NA,1,1,1,1,1
"female","~~","female","",0.249997180745795,0,NA,NA,0.249997180745795,0.249997180745795,0.249997180745795,1,0.249997180745795
"female","~~","ESCS_z","",0.013599342116317,0,NA,NA,0.013599342116317,0.013599342116317,0.013599342116317,0.0275814344555761,0.013599342116317
"female","~~","ST001D01T_z","",0.0166483392402507,0,NA,NA,0.0166483392402507,0.0166483392402507,0.0166483392402507,0.0344932152667602,0.0166483392402507
"female","~~","MISCED","",-0.00779082000380127,0,NA,NA,-0.00779082000380127,-0.00779082000380127,-0.00779082000380127,-0.00731953652829103,-0.00779082000380127
"female","~~","SCHSIZE_z","",0.00102107331172488,0,NA,NA,0.00102107331172488,0.00102107331172488,0.00102107331172488,0.0020278936194846,0.00102107331172488
"ESCS_z","~~","ESCS_z","",0.972449347464309,0,NA,NA,0.972449347464309,0.972449347464309,0.972449347464309,1,0.972449347464309
"ESCS_z","~~","ST001D01T_z","",0.172731916777573,0,NA,NA,0.172731916777573,0.172731916777573,0.172731916777573,0.181455198679019,0.172731916777573
"ESCS_z","~~","MISCED","",1.41852495576426,0,NA,NA,1.41852495576426,1.41852495576426,1.41852495576426,0.67572728162237,1.41852495576426
"ESCS_z","~~","SCHSIZE_z","",0.058523178906001,0,NA,NA,0.058523178906001,0.058523178906001,0.058523178906001,0.0589318687774299,0.058523178906001
"ST001D01T_z","~~","ST001D01T_z","",0.931835743151133,0,NA,NA,0.931835743151133,0.931835743151133,0.931835743151133,1,0.931835743151133
"ST001D01T_z","~~","MISCED","",0.290163856162476,0,NA,NA,0.290163856162476,0.290163856162476,0.290163856162476,0.14120224414064,0.290163856162476
"ST001D01T_z","~~","SCHSIZE_z","",0.0265444778376096,0,NA,NA,0.0265444778376096,0.0265444778376096,0.0265444778376096,0.0273061394305766,0.0265444778376096
"MISCED","~~","MISCED","",4.53173040246178,0,NA,NA,4.53173040246178,4.53173040246178,4.53173040246178,1,4.53173040246178
"MISCED","~~","SCHSIZE_z","",0.139225627230755,0,NA,NA,0.139225627230755,0.139225627230755,0.139225627230755,0.0649445855721111,0.139225627230755
"SCHSIZE_z","~~","SCHSIZE_z","",1.01411779001242,0,NA,NA,1.01411779001242,1.01411779001242,1.01411779001242,1,1.01411779001242
