Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q05WA,REAL,ordinal,,"2.0: 10.4%, 4.0: 6.7%, 5.0: 14.8%, 6.0: 3.2%, 10.0: 21.7%, 15.0: 4.2%, 20.0: 16.8%, 25.0: 6.5%, 28.0: 4.6%, 40.0: 4.7%, 70.0: 4.3%, 85.0: 2.1%"
SC064Q05WA,CTGAN,ordinal,0.409,"2.0: 6.3%, 3.0: 7.7%, 4.0: 8.7%, 5.0: 7.4%, 6.0: 4.1%, 7.0: 1.9%, 8.0: 1.5%, 9.0: 4.2%, 10.0: 7.1%, 11.0: 7.1%, 12.0: 3.0%, 13.0: 0.7%, 14.0: 0.4%, 15.0: 0.5%, 16.0: 0.8%, 17.0: 1.3%, 18.0: 1.7%, 19.0: 2.3%, 20.0: 2.4%, 21.0: 3.3%, 22.0: 3.1%, 23.0: 3.2%, 24.0: 2.9%, 25.0: 2.4%, 26.0: 2.2%, 27.0: 1.5%, 28.0: 1.0%, 29.0: 0.6%, 30.0: 0.4%, 31.0: 0.2%, 32.0: 0.1%, 33.0: 0.1%, 35.0: 0.0%, 36.0: 0.1%, 37.0: 0.1%, 38.0: 0.3%, 39.0: 0.2%, 40.0: 0.4%, 41.0: 0.6%, 42.0: 0.4%, 43.0: 0.3%, 44.0: 0.4%, 45.0: 0.4%, 46.0: 0.4%, 47.0: 0.1%, 48.0: 0.1%, 49.0: 0.1%, 50.0: 0.0%, 51.0: 0.0%, 55.0: 0.0%, 56.0: 0.0%, 57.0: 0.0%, 58.0: 0.0%, 59.0: 0.1%, 60.0: 0.1%, 61.0: 0.0%, 62.0: 0.1%, 63.0: 0.1%, 64.0: 0.2%, 65.0: 0.1%, 66.0: 0.2%, 67.0: 0.2%, 68.0: 0.1%, 69.0: 0.4%, 70.0: 0.2%, 71.0: 0.3%, 72.0: 0.2%, 73.0: 0.2%, 74.0: 0.4%, 75.0: 0.3%, 76.0: 0.5%, 77.0: 0.1%, 78.0: 0.3%, 79.0: 0.3%, 80.0: 0.1%, 81.0: 0.2%, 82.0: 0.2%, 83.0: 0.1%, 84.0: 0.2%, 85.0: 0.4%"
SC064Q05WA,GReaT,ordinal,1.000,"2.0: 11.6%, 4.0: 8.6%, 5.0: 12.5%, 6.0: 0.7%, 8.0: 0.0%, 10.0: 23.8%, 15.0: 3.2%, 20.0: 18.4%, 25.0: 7.1%, 28.0: 3.5%, 40.0: 5.9%, 70.0: 4.1%, 85.0: 0.5%"
SC064Q05WA,PredLLM,ordinal,0.000,"2.0190843748332004: 11.1%, 4.002747335538732: 11.2%, 4.904412317677609: 17.0%, 5.986410296244264: 3.0%, 9.593070224799778: 0.0%, 9.953736217655328: 21.4%, 14.281728131921945: 0.0%, 15.003060117633046: 7.7%, 17.167056074766354: 0.9%, 20.052384017610763: 13.8%, 24.921374921160705: 7.2%, 27.98703586043289: 0.5%, 37.00368568182168: 0.0%, 40.06934662109386: 0.8%, 70.00462402810462: 3.2%, 84.97226273160999: 1.9%"
SC064Q05WA,REaLTabFormer,ordinal,0.000,"2.0190843748332004: 9.8%, 3.1010823533998533: 0.0%, 4.002747335538732: 10.3%, 4.904412317677609: 21.1%, 5.986410296244264: 0.9%, 8.511072246233123: 0.1%, 9.953736217655328: 19.8%, 15.003060117633046: 4.3%, 20.052384017610763: 17.7%, 24.921374921160705: 3.1%, 27.98703586043289: 5.6%, 28.34770185328844: 0.0%, 28.52803484971622: 0.0%, 29.429699831855096: 0.0%, 30.33136481399397: 0.0%, 30.872363803277302: 0.2%, 32.31502777469951: 0.1%, 33.93802474254949: 0.2%, 70.00462402810462: 5.2%, 70.54562301738794: 0.0%, 84.97226273160999: 1.5%"
SC064Q05WA,TabDiff,ordinal,1.000,"2: 10.8%, 4: 6.4%, 5: 14.3%, 6: 3.0%, 10: 22.8%, 15: 4.3%, 20: 17.7%, 25: 5.4%, 28: 5.2%, 40: 4.1%, 70: 3.9%, 85: 2.2%"
SC064Q05WA,TabSyn,ordinal,1.000,"2: 9.8%, 4: 6.4%, 5: 13.3%, 6: 2.5%, 10: 21.8%, 15: 4.7%, 20: 18.7%, 25: 7.4%, 28: 5.0%, 40: 5.1%, 70: 3.3%, 85: 1.9%"
SC064Q05WA,Tabula,ordinal,1.000,"2.0: 14.5%, 4.0: 8.3%, 5.0: 14.5%, 6.0: 1.3%, 10.0: 17.1%, 15.0: 2.4%, 20.0: 18.1%, 25.0: 6.3%, 28.0: 5.4%, 40.0: 5.2%, 70.0: 6.6%, 85.0: 0.1%"
SC064Q05WA,TapTap,ordinal,0.000,"0.396087407: 0.0%, 2.001051075: 9.9%, 4.002747336: 7.7%, 4.994578816: 16.1%, 6.004443596: 3.7%, 10.00783612: 24.5%, 15.00306012: 4.2%, 19.99828412: 14.9%, 23.24427805: 0.0%, 24.99350812: 6.9%, 28.00506916: 4.6%, 39.99721342: 3.3%, 70.00462403: 2.5%, 85.00832933: 1.7%"
SC064Q06WA,REAL,ordinal,,"3.0: 3.5%, 4.0: 6.7%, 10.0: 11.2%, 15.0: 6.4%, 20.0: 19.7%, 30.0: 4.2%, 33.0: 3.2%, 50.0: 6.5%, 70.0: 8.5%, 80.0: 8.2%, 90.0: 4.6%, 100.0: 17.3%"
SC064Q06WA,CTGAN,ordinal,0.224,"3.0: 2.3%, 4.0: 1.2%, 5.0: 0.9%, 6.0: 1.2%, 7.0: 1.6%, 8.0: 1.5%, 9.0: 2.1%, 10.0: 2.0%, 11.0: 2.3%, 12.0: 2.4%, 13.0: 2.6%, 14.0: 2.5%, 15.0: 3.0%, 16.0: 2.7%, 17.0: 2.7%, 18.0: 2.5%, 19.0: 2.5%, 20.0: 1.8%, 21.0: 2.0%, 22.0: 2.0%, 23.0: 1.5%, 24.0: 1.6%, 25.0: 1.2%, 26.0: 1.2%, 27.0: 1.2%, 28.0: 0.8%, 29.0: 0.4%, 30.0: 0.6%, 31.0: 0.5%, 32.0: 0.3%, 33.0: 0.4%, 34.0: 0.4%, 35.0: 0.2%, 36.0: 0.2%, 37.0: 0.2%, 38.0: 0.1%, 39.0: 0.0%, 40.0: 0.1%, 41.0: 0.1%, 42.0: 0.1%, 43.0: 0.2%, 44.0: 0.3%, 45.0: 0.2%, 46.0: 0.2%, 47.0: 0.5%, 48.0: 0.5%, 49.0: 0.5%, 50.0: 0.6%, 51.0: 0.3%, 52.0: 0.5%, 53.0: 0.4%, 54.0: 0.4%, 55.0: 0.4%, 56.0: 0.2%, 57.0: 0.2%, 58.0: 0.2%, 59.0: 0.1%, 60.0: 0.2%, 61.0: 0.1%, 62.0: 0.2%, 63.0: 0.1%, 64.0: 0.2%, 65.0: 0.2%, 66.0: 0.3%, 67.0: 0.3%, 68.0: 0.4%, 69.0: 0.8%, 70.0: 0.5%, 71.0: 1.0%, 72.0: 1.1%, 73.0: 1.0%, 74.0: 1.4%, 75.0: 1.6%, 76.0: 1.1%, 77.0: 1.3%, 78.0: 1.0%, 79.0: 0.8%, 80.0: 1.1%, 81.0: 0.8%, 82.0: 0.7%, 83.0: 0.7%, 84.0: 0.5%, 85.0: 0.5%, 86.0: 0.6%, 87.0: 0.4%, 88.0: 0.4%, 89.0: 0.4%, 90.0: 0.7%, 91.0: 0.9%, 92.0: 1.1%, 93.0: 1.3%, 94.0: 1.3%, 95.0: 1.4%, 96.0: 1.9%, 97.0: 1.4%, 98.0: 1.6%, 99.0: 1.6%, 100.0: 8.2%"
