Technique,Variable,Target,DeltaAbs,DeltaSigned,r_REAL,r_SYNTH
GReaT,ESCS,SMP,0.139,-0.139,0.385,0.245
Tabula,ESCS,SMP,0.103,-0.103,0.385,0.281
TapTap,ESCS,SMP,0.097,0.097,0.385,0.482
PredLLM,ESCS,SMP,0.005,-0.005,0.385,0.380
TabSyn,ESCS,SMP,0.038,0.038,0.385,0.423
TabDiff,ESCS,SMP,0.055,-0.055,0.385,0.330
REaLTabFormer,ESCS,SMP,0.062,0.062,0.385,0.446
CTGAN,ESCS,SPI,0.002,0.002,-0.081,-0.079
GReaT,ESCS,SPI,0.034,0.034,-0.081,-0.047
Tabula,ESCS,SPI,0.039,-0.039,-0.081,-0.121
TapTap,ESCS,SPI,0.002,-0.002,-0.081,-0.083
PredLLM,ESCS,SPI,0.161,0.161,-0.081,0.080
TabSyn,ESCS,SPI,0.072,-0.072,-0.081,-0.154
TabDiff,ESCS,SPI,0.015,0.015,-0.081,-0.067
REaLTabFormer,ESCS,SPI,0.030,0.030,-0.081,-0.051
CTGAN,ESCS,SMS,0.073,-0.073,0.046,-0.027
GReaT,ESCS,SMS,0.018,-0.018,0.046,0.028
Tabula,ESCS,SMS,0.050,0.050,0.046,0.096
TapTap,ESCS,SMS,0.143,0.143,0.046,0.189
PredLLM,ESCS,SMS,0.082,0.082,0.046,0.128
TabSyn,ESCS,SMS,0.039,0.039,0.046,0.085
TabDiff,ESCS,SMS,0.008,-0.008,0.046,0.038
REaLTabFormer,ESCS,SMS,0.124,0.124,0.046,0.171
CTGAN,motherEdu,SMP,0.048,0.048,0.183,0.232
GReaT,motherEdu,SMP,0.072,-0.072,0.183,0.112
Tabula,motherEdu,SMP,0.078,-0.078,0.183,0.105
TapTap,motherEdu,SMP,0.088,0.088,0.183,0.272
PredLLM,motherEdu,SMP,0.071,0.071,0.183,0.255
TabSyn,motherEdu,SMP,0.010,0.010,0.183,0.193
TabDiff,motherEdu,SMP,0.011,-0.011,0.183,0.173
REaLTabFormer,motherEdu,SMP,0.183,0.183,0.183,0.366
CTGAN,motherEdu,SPI,0.027,-0.027,-0.011,-0.038
GReaT,motherEdu,SPI,0.035,0.035,-0.011,0.023
Tabula,motherEdu,SPI,0.069,-0.069,-0.011,-0.080
TapTap,motherEdu,SPI,0.012,-0.012,-0.011,-0.023
PredLLM,motherEdu,SPI,0.067,0.067,-0.011,0.056
TabSyn,motherEdu,SPI,0.049,-0.049,-0.011,-0.060
TabDiff,motherEdu,SPI,0.025,0.025,-0.011,0.014
REaLTabFormer,motherEdu,SPI,0.006,0.006,-0.011,-0.006
CTGAN,motherEdu,SMS,0.027,-0.027,0.043,0.016
GReaT,motherEdu,SMS,0.040,-0.040,0.043,0.003
Tabula,motherEdu,SMS,0.015,-0.015,0.043,0.028
TapTap,motherEdu,SMS,0.070,0.070,0.043,0.113
PredLLM,motherEdu,SMS,0.030,0.030,0.043,0.073
TabSyn,motherEdu,SMS,0.030,0.030,0.043,0.074
TabDiff,motherEdu,SMS,0.009,-0.009,0.043,0.034
REaLTabFormer,motherEdu,SMS,0.194,0.194,0.043,0.237
CTGAN,immig,SMP,0.057,0.057,0.059,0.115
