Variable,Technique,Type,Category_Adherence,Category_Proportions
SC064Q04NA,PredLLM_DistilGPT2,ordinal,0.000,"1.01002304: 4.8%, 1.995486067: 25.0%, 2.980949094: 11.1%, 3.30943677: 0.0%, 4.032109656: 3.4%, 5.017572683: 19.8%, 5.87164064: 0.0%, 6.00303571: 1.0%, 6.200128316: 0.0%, 7.776869159: 1.2%, 7.973961764: 2.6%, 10.01058535: 13.6%, 10.53616563: 0.0%, 15.00359802: 8.3%, 19.99661069: 5.2%, 25.97508639: 3.9%"
SC064Q04NA,PredLLM_GPT2,ordinal,0.000,"1.01002304: 5.3%, 1.995486067: 24.1%, 2.652461418: 0.0%, 2.980949094: 12.7%, 4.032109656: 2.2%, 5.017572683: 18.4%, 6.00303571: 0.9%, 7.776869159: 1.7%, 7.973961764: 3.8%, 10.01058535: 13.2%, 12.11290648: 0.0%, 15.00359802: 9.4%, 19.99661069: 4.8%, 20.32509837: 0.0%, 20.58788851: 0.0%, 25.97508639: 3.4%, 32.5448399: 0.1%"
SC064Q04NA,REaLTabFormer,ordinal,0.000,"1.0100230401517898: 1.2%, 1.9954860671508257: 18.2%, 2.980949094149862: 9.5%, 4.032109656282167: 2.1%, 4.3605973319485125: 0.0%, 4.951875148147934: 0.0%, 5.017572683281204: 23.4%, 5.543152964347356: 0.0%, 7.119893807545814: 0.0%, 7.579776553478697: 0.0%, 7.973961764278312: 3.4%, 8.433844510211195: 0.1%, 10.010585353409652: 21.0%, 12.572789223607147: 0.0%, 13.426857180339644: 0.0%, 13.558252250606184: 0.1%, 15.003598023538103: 6.2%, 19.99661069366656: 5.3%, 25.77799378539424: 0.0%, 25.97508639079404: 9.4%"
SC064Q04NA,TabDiff,ordinal,1.000,"1: 3.6%, 2: 15.1%, 3: 15.7%, 4: 3.1%, 5: 20.5%, 6: 4.3%, 8: 4.4%, 10: 12.9%, 15: 10.1%, 20: 6.3%, 26: 4.1%"
SC064Q04NA,TabSyn,ordinal,1.000,"1: 3.4%, 2: 16.3%, 3: 14.0%, 4: 2.7%, 5: 21.5%, 6: 5.3%, 8: 3.5%, 10: 12.3%, 15: 10.5%, 20: 7.3%, 26: 3.3%"
SC064Q04NA,Tabula_DistilGPT2,ordinal,1.000,"1.0: 3.8%, 2.0: 17.1%, 3.0: 16.1%, 4.0: 1.0%, 5.0: 22.3%, 6.0: 6.8%, 8.0: 2.0%, 10.0: 14.9%, 15.0: 7.3%, 20.0: 5.3%, 26.0: 3.4%"
SC064Q04NA,Tabula_GPT2,ordinal,1.000,"1.0: 1.3%, 2.0: 16.6%, 3.0: 15.2%, 4.0: 0.9%, 5.0: 21.0%, 6.0: 5.1%, 8.0: 4.3%, 10.0: 16.0%, 15.0: 10.5%, 20.0: 3.7%, 26.0: 5.4%"
SC064Q04NA,TapTap_DistilGPT2,ordinal,0.000,"0.556710048: 0.0%, 0.996883533: 4.1%, 2.002055821: 16.6%, 3.000658355: 16.3%, 3.046646629: 0.0%, 3.999260889: 3.8%, 4.032109656: 0.0%, 4.997863423: 23.4%, 6.00303571: 3.6%, 8.000240778: 2.3%, 9.997445846: 11.3%, 14.99702827: 10.0%, 20.00318045: 6.2%, 25.77799379: 0.0%, 26.0013654: 2.3%"
SC064Q04NA,TapTap_GPT2,ordinal,0.000,"0.996883533: 4.2%, 1.187406385: 0.0%, 2.002055821: 18.8%, 3.000658355: 17.6%, 3.999260889: 3.5%, 4.997863423: 22.6%, 6.00303571: 2.6%, 8.000240778: 2.5%, 9.997445846: 10.8%, 14.99702827: 9.0%, 15.91679376: 0.0%, 20.00318045: 5.5%, 26.0013654: 2.8%"
SC064Q05WA,REAL,ordinal,,"2.0: 10.4%, 4.0: 6.7%, 5.0: 14.8%, 6.0: 3.2%, 10.0: 21.7%, 15.0: 4.2%, 20.0: 16.8%, 25.0: 6.5%, 28.0: 4.6%, 40.0: 4.7%, 70.0: 4.3%, 85.0: 2.1%"
